rho[kg/m^3]	drho[kg/m^3]	P[Pa]	dP[Pa]	T[K]	dT[K]
1.064609e+04	1.833321e+00	9.478750e+10	1.264000e+08	1848	95.1
1.063206e+04	1.828490e+00	9.605760e+10	2.538000e+08	2117	83.3
1.063267e+04	1.828699e+00	9.663810e+10	2.025000e+08	2247	101.4
1.061988e+04	1.824304e+00	9.618360e+10	1.946000e+08	2254	80.6
1.061137e+04	1.821383e+00	9.509850e+10	1.615000e+08	2315	73.2
1.060470e+04	2.425456e+00	9.487310e+10	2.915000e+08	2421	65.9
1.058775e+04	2.417708e+00	9.483860e+10	2.306000e+08	2522	72.3
1.059864e+04	2.422685e+00	9.844950e+10	2.989000e+08	2812	141.4
1.067551e+04	1.843465e+00	8.599930e+10	0.000000e+00	300	1.0
1.075288e+04	3.740565e+00	8.793740e+10	0.000000e+00	300	1.0
1.080298e+04	2.517004e+00	9.079030e+10	0.000000e+00	300	1.0
1.076661e+04	2.500083e+00	9.702050e+10	1.191000e+08	1570	112.4
1.076224e+04	3.122566e+00	9.801020e+10	8.420000e+07	1774	73.6
1.066753e+04	2.454280e+00	8.662270e+10	0.000000e+00	1942	81.2
1.064548e+04	2.444147e+00	9.532860e+10	2.152000e+08	2032	86.6
1.072676e+04	3.102012e+00	9.925800e+10	2.124000e+08	1937	87.5
1.063694e+04	2.440224e+00	9.657630e+10	3.347000e+08	2187	104.5
1.076661e+04	2.500083e+00	8.845610e+10	0.000000e+00	300	1.0
1.073234e+04	4.968389e+00	9.990820e+10	0.000000e+00	2486	125.0
1.069028e+04	3.080949e+00	1.001352e+11	0.000000e+00	2262	107.0
1.070014e+04	3.703967e+00	9.974640e+10	2.331000e+08	2238	137.0
1.085229e+04	1.270016e+00	9.377550e+10	0.000000e+00	300	1.0
1.100947e+04	1.307073e+00	1.047140e+11	0.000000e+00	300	1.0
1.102649e+04	1.311117e+00	1.067789e+11	0.000000e+00	300	1.0
1.100490e+04	1.305987e+00	1.131566e+11	2.280000e+08	1735	69.4
1.098274e+04	1.951100e+00	1.143473e+11	1.589000e+08	1975	102.4
1.098470e+04	2.602392e+00	1.131931e+11	2.061000e+08	1860	85.2
1.110839e+04	1.995996e+00	1.197219e+11	3.383000e+08	1810	81.0
1.114510e+04	2.009212e+00	1.117739e+11	0.000000e+00	300	1.0
1.107323e+04	1.983384e+00	1.228021e+11	1.025700e+09	2326	1.0
1.105673e+04	1.318318e+00	1.209421e+11	3.860000e+08	2273	64.8
1.104619e+04	2.631613e+00	1.214083e+11	6.039000e+08	2445	83.8
1.105278e+04	1.976063e+00	1.212404e+11	8.037000e+08	2430	92.8
1.115985e+04	1.343023e+00	1.123329e+11	0.000000e+00	300	1.0
1.112705e+04	2.002708e+00	1.258461e+11	1.027000e+08	2386	97.8
