V[Angstroms^3]	rho[g/cm^3]	P[GPa]	Pst.dev.[GPa]	T[K]	Tst.dev.[K]	unique_id	science_material	science_formula	science_phase	science_method	data_delimiter	label	entry	drho[g/cm^3]	dP[GPa]	dT[K]	science_cristal	MDsteps	U[kJ/kg]
	9.828596100299254	60.2883		2486.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0015625748967089	0.2243	117.2	hcp		
	9.844246731032216	59.3395		2375.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0010450368079652	0.3683	116.1	hcp		
	9.819229585591218	55.1595		1892.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0015595980917393	0.2386	115.1	hcp		
	9.807805838849651	53.8825		1578.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0015559713123505	0.0623	102.1	hcp		
	9.825992498683284	53.9376		1450.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0020823295361448	0.0723	132.2	hcp		
	9.836936905306406	53.0883		1324.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0031304562125723	0.054	323.0	hcp		
	10.503800669006454	75.4026		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	34.08782839301171	0.0	1.0	hcp		
	10.3884841994425	80.9436		1441.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0023275604547006	0.052	63.3	hcp		
	10.455245978502	85.6413		2104.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0041257524014608	0.207	58.2	hcp		
	10.447589477954423	86.6887		2347.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0052967724933297	0.3521	89.0	hcp		
	10.45288893719478	87.6737		2496.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0029456374167826	0.1574	103.8	hcp		
	10.46350400071351	84.2323		1797.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0029516231313719	0.0971	68.8	hcp		
	10.470592695345054	83.6214		1696.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.003546748499524	0.0602	96.2	hcp		
	10.44876667113504	81.9017		1448.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0029433145552493	0.0884	134.5	hcp		
	10.442883356567958	84.317		1934.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0029400009449797	0.2998	69.9	hcp		
	10.445824185448997	84.8394		2013.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0041183198703544	0.0974	70.3	hcp		
	10.439944183092988	85.1048		2084.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.003526015485424	0.1054	66.4	hcp		
	10.432310069335523	85.3075		2153.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0035208606376427	0.1582	65.0	hcp		
	10.421172580358876	86.5451		2409.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0029277891162439	0.2869	76.8	hcp		
	10.416490222558098	86.5346		2468.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0046802539612729	0.2565	78.5	hcp		
	10.35426576667301	86.7337		2596.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0052025676585561	0.3335	95.6	hcp		
	10.394306361746732	86.4824		2558.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0052428827694737	0.3254	111.2	hcp		
	10.729858745307894	87.1354		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0031038064059322	0.0	1.0	hcp		
