V[Angstroms^3]	rho[g/cm^3]	P[GPa]	Pst.dev.[GPa]	T[K]	Tst.dev.[K]	unique_id	science_material	science_formula	science_phase	science_method	data_delimiter	label	entry	drho[g/cm^3]	dP[GPa]	dT[K]	science_cristal	MDsteps	U[kJ/kg]
	2.885	14.33		5500.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		1.43	256.0		5883.0	
	2.623	9.19		5500.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		1.22	261.0		6164.0	
	2.187	3.59		5500.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		1.04	253.0		4931.0	
	2.004	2.22		5499.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		1.0	278.0		4713.0	
	1.842	1.33		5500.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.88	246.0		10476.0	
	1.343	0.14		5500.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.64	234.0		7233.0	
	1.009	-0.04		5498.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.48	248.0		6344.0	
	0.883	-0.02		5499.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.42	276.0		4500.0	
	0.777	-0.02		5501.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.35	284.0		4021.0	
	0.688	0.07		5499.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.33	278.0		3171.0	
	0.611	0.04		5503.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.25	197.0		879.0	
	4.89	122.21		6001.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		2.29	280.0		4500.0	
	4.366	82.32		6000.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		2.09	282.0		4500.0	
	3.915	54.85		6000.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		1.89	287.0		22707.0	
	3.183	24.37		6000.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		1.61	298.0		19400.0	
	2.623	10.5		6000.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		1.29	273.0		17635.0	
	2.187	4.52		6000.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		1.09	287.0		16238.0	
	1.842	1.99		6000.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.92	285.0		12868.0	
	1.566	0.87		6000.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.76	304.0		10836.0	
	1.343	0.44		5997.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.63	292.0		3582.0	
	1.16	0.23		6000.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.57	270.0		8830.0	
	1.009	0.21		6001.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.49	298.0		8500.0	
	0.883	0.14		5999.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.4	267.0		4445.0	
	0.777	0.12		5999.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.36	292.0		4890.0	
	0.688	0.12		5997.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.34	310.0		3328.0	
	0.611	0.12		6001.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.29	253.0		6021.0	
	0.489	0.1		6001.0		caracas2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD		pyrolite	caracas2024_pyrolite		0.23	313.0		2655.0	
